grouping_strategy,purity_mode,visible_ratio,block_size,cases,median_region_count,median_pure_region_ratio,median_impure_region_ratio,median_dist_reduction_plan,median_dist_reduction_ideal,median_plan_vs_masked_cost,median_ideal_vs_masked_cost,median_PA_plan,median_PA_ideal,all_planned_equals_masked,all_validation_passed
acl_class,adversarial_mixed,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
acl_class,adversarial_mixed,0.101562,16,1,4,0.750000,0.250000,0.750000,0.898438,0.304427,0.275781,4.087413,3.702797,true,true
acl_class,adversarial_mixed,0.250000,16,1,4,0.500000,0.500000,0.500000,0.750000,0.536979,0.384635,2.928977,2.098011,true,true
acl_class,adversarial_mixed,0.500000,16,1,4,0.000000,1.000000,0.000000,0.500000,1.002083,0.567969,2.732955,1.549006,true,true
acl_class,adversarial_mixed,0.750000,16,1,4,0.500000,0.500000,0.000000,0.250000,0.870313,0.751302,1.582386,1.366004,true,true
acl_class,adversarial_mixed,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
acl_class,clustered,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
acl_class,clustered,0.101562,16,1,4,0.750000,0.250000,0.750000,0.898438,0.304427,0.275781,4.087413,3.702797,true,true
acl_class,clustered,0.250000,16,1,4,1.000000,0.000000,0.750000,0.750000,0.238542,0.384635,1.301136,2.098011,true,true
acl_class,clustered,0.500000,16,1,4,1.000000,0.000000,0.500000,0.500000,0.405208,0.567969,1.105114,1.549006,true,true
acl_class,clustered,0.750000,16,1,4,1.000000,0.000000,0.250000,0.250000,0.571875,0.751302,1.039773,1.366004,true,true
acl_class,clustered,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
acl_class,mixed,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
acl_class,mixed,0.101562,16,1,4,0.000000,1.000000,0.000000,0.898438,1.002083,0.275781,13.454545,3.702797,true,true
acl_class,mixed,0.250000,16,1,4,0.000000,1.000000,0.000000,0.750000,1.002083,0.384635,5.465909,2.098011,true,true
acl_class,mixed,0.500000,16,1,4,0.000000,1.000000,0.000000,0.500000,1.002083,0.567969,2.732955,1.549006,true,true
acl_class,mixed,0.750000,16,1,4,1.000000,0.000000,0.250000,0.250000,0.571875,0.751302,1.039773,1.366004,true,true
acl_class,mixed,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
fixed_block,adversarial_mixed,0.000000,16,1,16,1.000000,0.000000,1.000000,1.000000,0.087500,0.201302,30.545455,70.272727,true,true
fixed_block,adversarial_mixed,0.101562,16,1,16,0.750000,0.250000,0.750000,0.898438,0.317708,0.275781,4.265734,3.702797,true,true
fixed_block,adversarial_mixed,0.250000,16,1,16,0.500000,0.500000,0.500000,0.750000,0.547917,0.384635,2.988636,2.098011,true,true
fixed_block,adversarial_mixed,0.500000,16,1,16,0.000000,1.000000,0.000000,0.500000,1.008333,0.567969,2.750000,1.549006,true,true
fixed_block,adversarial_mixed,0.750000,16,1,16,0.500000,0.500000,0.000000,0.250000,0.881250,0.751302,1.602273,1.366004,true,true
fixed_block,adversarial_mixed,1.000000,16,1,16,1.000000,0.000000,0.000000,0.000000,0.754167,0.934635,1.028409,1.274503,true,true
fixed_block,clustered,0.000000,16,1,16,1.000000,0.000000,1.000000,1.000000,0.087500,0.201302,30.545455,70.272727,true,true
fixed_block,clustered,0.101562,16,1,16,0.937500,0.062500,0.875000,0.898438,0.186719,0.275781,2.506993,3.702797,true,true
fixed_block,clustered,0.250000,16,1,16,1.000000,0.000000,0.750000,0.750000,0.254167,0.384635,1.386364,2.098011,true,true
fixed_block,clustered,0.500000,16,1,16,1.000000,0.000000,0.500000,0.500000,0.420833,0.567969,1.147727,1.549006,true,true
fixed_block,clustered,0.750000,16,1,16,1.000000,0.000000,0.250000,0.250000,0.587500,0.751302,1.068182,1.366004,true,true
fixed_block,clustered,1.000000,16,1,16,1.000000,0.000000,0.000000,0.000000,0.754167,0.934635,1.028409,1.274503,true,true
fixed_block,mixed,0.000000,16,1,16,1.000000,0.000000,1.000000,1.000000,0.087500,0.201302,30.545455,70.272727,true,true
fixed_block,mixed,0.101562,16,1,16,0.062500,0.937500,0.062500,0.898438,0.950781,0.275781,12.765734,3.702797,true,true
fixed_block,mixed,0.250000,16,1,16,0.000000,1.000000,0.000000,0.750000,1.008333,0.384635,5.500000,2.098011,true,true
fixed_block,mixed,0.500000,16,1,16,0.000000,1.000000,0.000000,0.500000,1.008333,0.567969,2.750000,1.549006,true,true
fixed_block,mixed,0.750000,16,1,16,1.000000,0.000000,0.250000,0.250000,0.587500,0.751302,1.068182,1.366004,true,true
fixed_block,mixed,1.000000,16,1,16,1.000000,0.000000,0.000000,0.000000,0.754167,0.934635,1.028409,1.274503,true,true
ivf_list,adversarial_mixed,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
ivf_list,adversarial_mixed,0.101562,16,1,4,0.750000,0.250000,0.750000,0.898438,0.304427,0.275781,4.087413,3.702797,true,true
ivf_list,adversarial_mixed,0.250000,16,1,4,0.500000,0.500000,0.500000,0.750000,0.536979,0.384635,2.928977,2.098011,true,true
ivf_list,adversarial_mixed,0.500000,16,1,4,0.000000,1.000000,0.000000,0.500000,1.002083,0.567969,2.732955,1.549006,true,true
ivf_list,adversarial_mixed,0.750000,16,1,4,0.500000,0.500000,0.000000,0.250000,0.870313,0.751302,1.582386,1.366004,true,true
ivf_list,adversarial_mixed,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
ivf_list,clustered,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
ivf_list,clustered,0.101562,16,1,4,0.750000,0.250000,0.750000,0.898438,0.304427,0.275781,4.087413,3.702797,true,true
ivf_list,clustered,0.250000,16,1,4,1.000000,0.000000,0.750000,0.750000,0.238542,0.384635,1.301136,2.098011,true,true
ivf_list,clustered,0.500000,16,1,4,1.000000,0.000000,0.500000,0.500000,0.405208,0.567969,1.105114,1.549006,true,true
ivf_list,clustered,0.750000,16,1,4,1.000000,0.000000,0.250000,0.250000,0.571875,0.751302,1.039773,1.366004,true,true
ivf_list,clustered,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
ivf_list,mixed,0.000000,16,1,4,1.000000,0.000000,1.000000,1.000000,0.071875,0.201302,25.090909,70.272727,true,true
ivf_list,mixed,0.101562,16,1,4,0.000000,1.000000,0.000000,0.898438,1.002083,0.275781,13.454545,3.702797,true,true
ivf_list,mixed,0.250000,16,1,4,0.000000,1.000000,0.000000,0.750000,1.002083,0.384635,5.465909,2.098011,true,true
ivf_list,mixed,0.500000,16,1,4,0.000000,1.000000,0.000000,0.500000,1.002083,0.567969,2.732955,1.549006,true,true
ivf_list,mixed,0.750000,16,1,4,1.000000,0.000000,0.250000,0.250000,0.571875,0.751302,1.039773,1.366004,true,true
ivf_list,mixed,1.000000,16,1,4,1.000000,0.000000,0.000000,0.000000,0.738542,0.934635,1.007102,1.274503,true,true
